1, 1, What is the capital city of France?, Paris, London, Berlin, Rome, a
2, 1, Which one is a summer fruit?, Apple, Watermelon, Orange, Pear, b
3, 1, What do we breathe?, Carbon dioxide, Hydrogen, Oxygen, Nitrogen, c
4, 1, What color do you get when you mix red and blue?, Yellow, Orange, Green, Purple, d
5, 1, How many letters are there in the English alphabet?, 26, 24, 20, 28, a
1, 2, What is the capital city of Australia?, Canberra, Melbourne, Sydney, Perth, a
2, 2, Who wrote the novel "Pride and Prejudice"?, Charles Dickens, Jane Austen, Emily Bronte, George Orwell, b
3, 2, What is the chemical symbol for gold?, Ge, Ag, Au, Fe, c
4, 2, Which planet is known as the Red Planet?, Venus, Saturn, Jupiter, Mars, d
5, 2, Who was the first person to walk on the moon?, Neil Armstrong, Buzz Aldrin, John Glenn, Yuri Gagarin, a
1, 3, Who is the author of "One Thousand and One Nights?, Scheherazade, Ali Baba, Sinbad the Sailor, Aladdin, a
2, 3, Which planet is the largest in the Solar System?, Earth, Jupiter, Mars, Saturn, b
3, 3, Who was the first woman to win the Nobel Prize in Physics?, Dorothy Crowfoot Hodgkin, Rosalind Franklin, Marie Curie, Gerty Cori, c
4, 3, Which planet is known as the "Red Planet" in the Solar System?, Venus, Uranus, Jupiter, Mars, d
5, 3, Who is the author of the novel "The Metamorphosis?, Franz Kafka, Leo Tolstoy, Fyodor Dostoevsky, George Orwell, a